Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1985,The Transformers,Hasbro,-,Autobot,Blaster,Broadcast,AM/FM stereo cassette deck,Communications,"Red & grey portable stereo. Early versions came with a removable cover on the reverse of the figure whch was a left over from the original Microchange mould. Blaster features ""working"" buttons under the opening cassette door, after pressing the play button youcan press stop to spring it back up and the eject button opens the cassette door. Sometimes the eject button won't work but this is easily fixable.",Mainline,$16.95
1985,The Transformers,Hasbro,-,Autobot,Grimlock,Grimlock,Tyrannosaurus Rex,Dinobot,Tyrannosaurus Rex. Early releases feature the 1984 box art and were possibly released late 1984 or early 1985,Mainline,$15.99
1985,The Transformers,Hasbro,-,Autobot,Snarl,Snarl,Stegosaurus,Dinobot,Stegosaurus. Early releases feature the 1984 box art and were possibly released late 1984 or early 1985,Mainline,$15.99
1985,The Transformers,Hasbro,-,Autobot,Slag,Slag,Triceratops,Dinobot,"Triceratops. There was also a variant released in Canada with a red face, white legs and a red rocket launcher. Early releases feature the 1984 box art and were possibly released late 1984 or early 1985",Mainline,$15.99
1985,The Transformers,Hasbro,-,Autobot,Sludge,Sludge,Brontosaurus,Dinobot,Brontosaurus. Early releases feature the 1984 box art and were possibly released late 1984 or early 1985,Mainline,$15.99
1985,The Transformers,Hasbro,-,Autobot,Swoop,Swoop,Pteranodon,Dinobot,Pteranodon. Early releases feature the 1984 box art and were possibly released late 1984 or early 1985. Swoop was the only Dinobot not to be released in the UK.,Mainline,$15.99
1985,The Transformers,Hasbro,-,Autobot,Grapple,Grapple,Truck Crane,Autobot Car,Orange Mitsubishi Fuso Crane with an extendable crane.,Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Hoist,Hoist,Toyota Hilux Wrecker Rig,Autobot Car,"Toyota Hilux Wrecker rig Tow Truck. The towing section can flip down and ""tow"" other Autobot cars. Early varient a came with ""WRECKER"" text on the side of the truck mode like the original Doaclone version however this was later removed.",Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Inferno,Inferno,Mitsubishi Fuso F-Series FT fire ladder truck,Autobot Car,Mitsubishi Fuso Fire Engine with an extendable ladder,Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Red Alert,Alert,Lamborghini Countach LP500s Fire Chief Car,Autobot Car,Lamborghini Countach LP500S Fire chief car. Redco of 1984 Sideswipe with an additional light bar on the car roof. The colour scheme was unique to the Transformers toy line,Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Smokescreen,Smokescreen,1979 Electramotive / Devendorf Team Datsun 280 ZX Turbo racer,Autobot Car,"Nissan Fairlady 280Z-T based on the Electramotive Datsun 280ZX driven by Don Devendorf. The original car was numbered 83, the Transformers version reversed this to 38",Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Tracks,Tracks,Chevrolet Corvette Stingray C3,Autobot Car,Chevrolet Corvette Stingray C3. Car mode and flight mode,Mainline,$9.95
1985,The Transformers,Hasbro,-,Autobot,Roadbuster,Roadbuster,4WD Armoured Vehicle,Deluxe Autobot,4wd Armoured Vehicle. Redeco of the AR Mugen Calibur from Dorvak (Takatoku Toys). Unreleased in Japan,Mainline,$19.99
1985,The Transformers,Hasbro,-,Autobot,Whirl,Whirl,Apache Helicopter,Deluxe Autobot,Apache Helicopter. Redeco of the MR Ovelon Gazzette from Dorvak (Takatoku Toys). Unreleased in Japan,Mainline,$19.99
